ARMOR,PHYS_DEF,STRIKE_DEF,SLASH_DEF,THRUST_DEF,MAG_DEF,FIRE_DEF,LITNG_DEF,POISE,BLEED_RES,POIS_RES,CURSE_RES,DURABILITY,WEIGHT,STAM_MOD,SOUND_MOD
Black Sorcerer Gauntlets,19.4,19.9,21.1,19.4,41.1,29.0,29.0,0.0,25.2,25.2,2.8,200.0,1.0,0.0,1.0
Black Sorcerer Boots,19.4,19.9,21.1,19.4,41.1,29.0,29.0,0.0,25.2,25.2,2.8,200.0,1.0,0.0,1.0
Tattered Cloth Hood,19.4,21.5,19.4,19.4,21.8,29.0,14.5,0.0,12.6,32.2,1.4,400.0,1.1,0.0,1.0
Tattered Cloth Robe,50.8,56.4,50.8,50.8,55.7,72.6,41.1,0.0,32.2,82.6,2.8,400.0,2.7,0.0,1.0
Tattered Cloth Manchette,29.0,32.2,29.0,29.0,33.9,43.6,24.2,0.0,19.6,49.0,1.4,400.0,1.6,0.0,1.0
Heavy Boots,29.0,32.2,29.0,29.0,33.9,43.6,24.2,0.0,19.6,49.0,1.4,400.0,1.6,0.0,1.0
Priest's Hat,19.4,22.8,19.4,19.4,21.8,12.1,16.9,0.0,12.6,11.2,0.0,350.0,1.2,0.0,1.0
Holy Robe,53.2,62.8,53.2,53.2,55.7,33.9,46.0,0.0,33.6,28.0,0.0,350.0,4.0,0.0,1.0
Traveling Gloves (Holy),12.1,14.3,12.1,12.1,12.1,7.3,9.7,0.0,7.0,5.6,0.0,350.0,0.7,0.0,1.0
Holy Trousers,33.9,40.0,33.9,33.9,36.3,19.4,29.0,0.0,21.0,18.2,0.0,350.0,2.0,0.0,1.0
Cleric Helm,36.3,36.3,41.7,36.3,21.8,19.4,14.5,8.0,12.6,8.4,0.0,500.0,4.8,-1.0,1.0
Cleric Armor,96.8,96.8,111.3,96.8,55.7,50.8,36.3,20.0,32.2,22.4,0.0,500.0,12.5,-1.0,1.5
Cleric Gauntlets,58.1,58.1,66.8,58.1,31.5,29.0,21.8,12.0,19.6,12.6,0.0,500.0,7.4,-1.0,1.0
Cleric Leggings,58.1,58.1,66.8,58.1,31.5,29.0,21.8,12.0,19.6,12.6,0.0,500.0,7.4,-1.0,1.0
Iron Helm,33.9,33.9,33.9,33.2,24.2,24.2,21.8,8.0,16.8,11.2,2.8,350.0,4.5,0.0,1.0
Armor of the Sun,84.7,84.7,84.7,83.0,50.8,50.8,46.0,16.0,32.2,22.4,14.0,350.0,9.0,0.0,1.5
Iron Bracelet,41.1,41.1,41.1,40.3,24.2,24.2,21.8,7.0,15.4,9.8,2.8,350.0,4.3,0.0,1.0
Iron Leggings,50.8,50.8,50.8,49.8,29.0,29.0,26.6,9.0,19.6,12.6,2.8,350.0,5.3,0.0,1.0
Black Iron Helm,41.9,39.8,48.1,41.9,17.1,29.5,12.4,12.0,21.6,12.7,6.4,600.0,6.0,-1.0,1.0
Black Iron Armor,105.4,100.1,121.2,105.4,46.5,79.0,32.6,31.0,54.6,31.7,16.5,600.0,15.6,-2.0,1.5
Black Iron Gauntlets,62.0,58.9,71.3,62.0,26.4,46.5,20.2,18.0,31.7,17.8,10.2,600.0,9.2,-1.0,1.0
Black Iron Leggings,62.0,58.9,71.3,62.0,26.4,46.5,20.2,18.0,31.7,17.8,10.2,600.0,9.2,-1.0,1.0
Helm of the Wise,18.0,17.1,20.7,18.0,12.0,13.0,10.0,8.0,11.0,7.0,18.0,500.0,5.1,0.0,1.0
Armor of the Glorious,47.0,44.6,54.1,47.0,31.0,34.0,25.0,20.0,28.0,19.0,24.0,500.0,13.3,-1.0,1.5
Gauntlets of the Vanquisher,11.0,10.5,12.7,11.0,7.0,7.0,6.0,4.0,6.0,5.0,4.0,500.0,3.0,0.0,1.0
Boots of the Explorer,14.0,13.3,16.1,14.0,10.0,11.0,7.0,6.0,8.0,6.0,5.0,500.0,4.0,0.0,1.0
Catarina Helm,34.1,33.8,39.2,34.1,18.6,20.2,10.8,8.0,16.5,11.4,0.0,400.0,4.5,-1.0,1.0
Catarina Armor,88.4,87.5,101.6,88.4,48.1,57.4,29.5,21.0,43.2,30.5,0.0,400.0,11.7,-1.0,1.5
Catarina Gauntlets,52.7,52.2,60.6,52.7,27.9,32.6,18.6,13.0,26.7,16.5,0.0,400.0,6.9,-1.0,1.0
Catarina Leggings,52.7,52.2,60.6,52.7,27.9,32.6,18.6,13.0,26.7,16.5,0.0,400.0,6.9,-1.0,1.0
Crystalline Helm,25.0,21.3,28.8,25.0,8.0,6.0,2.0,6.0,6.0,0.0,0.0,150.0,4.2,0.0,1.0
Crystalline Armor,59.0,50.1,67.9,59.0,21.0,15.0,7.0,16.0,15.0,0.0,0.0,150.0,10.9,0.0,1.0
Crystalline Gauntlets,37.0,31.5,42.6,37.0,12.0,9.0,4.0,9.0,9.0,0.0,0.0,150.0,6.4,0.0,1.0
Crystalline Leggings,37.0,31.5,42.6,37.0,12.0,9.0,4.0,9.0,9.0,0.0,0.0,150.0,6.4,0.0,1.0
Brass Helm,34.1,32.7,38.5,34.1,18.6,17.1,17.1,8.0,14.0,11.4,7.6,600.0,5.1,0.0,1.0
Brass Armor,74.4,71.4,84.1,74.4,41.9,38.8,38.8,16.0,30.5,25.4,14.0,600.0,10.9,0.0,1.5
Brass Gauntlets,37.2,35.7,42.0,37.2,21.7,18.6,18.6,8.0,15.2,12.7,7.6,600.0,5.4,0.0,1.0
Brass Leggings,40.3,38.7,45.5,40.3,24.8,23.3,23.3,9.0,17.8,15.2,8.9,600.0,6.4,0.0,1.0
Pharis's Hat,16.9,18.0,16.9,16.9,12.1,16.9,14.5,0.0,8.4,7.0,0.0,250.0,1.2,0.0,1.0
Big Hat,21.7,23.9,23.9,19.5,66.7,10.8,26.4,0.0,16.5,16.5,0.0,250.0,3.0,0.0,1.0
Sage Robe,63.6,68.6,66.1,63.6,43.4,44.9,54.3,0.0,62.2,62.2,0.0,250.0,4.0,0.0,1.0
Traveling Gloves (Big Hat),29.0,31.4,30.2,29.0,38.7,19.4,24.2,0.0,19.6,19.6,0.0,250.0,1.6,0.0,1.0
Traveling Boots,29.0,31.4,30.2,29.0,38.7,19.4,24.2,0.0,19.6,19.6,0.0,250.0,1.6,0.0,1.0
Mask of the Sealer,18.6,20.5,18.6,18.6,18.6,10.8,14.0,0.0,10.2,10.2,10.2,400.0,1.5,0.0,1.0
Crimson Robe,49.6,54.6,49.6,49.6,51.1,29.5,37.2,0.0,26.7,26.7,26.7,400.0,3.9,0.0,1.0
Crimson Gloves,10.8,11.9,10.8,10.8,10.8,6.2,7.8,0.0,5.1,5.1,5.1,400.0,0.8,0.0,1.0
Crimson Waistcloth,44.9,49.4,44.9,44.9,44.9,26.4,32.6,0.0,24.1,24.1,24.1,400.0,3.5,0.0,1.0
Witch Hat,14.0,15.5,14.0,14.0,18.6,9.3,10.8,0.0,12.7,12.7,14.0,250.0,1.1,0.0,1.0
Crown of Dusk,5.0,5.0,5.0,5.0,11.0,2.0,6.0,0.0,5.0,5.0,20.0,150.0,0.4,0.0,1.0
Antiquated Dress,21.7,21.7,21.7,21.7,51.1,9.3,29.5,0.0,17.8,17.8,33.0,150.0,1.0,0.0,1.0
Antiquated Gloves,12.4,12.4,12.4,12.4,29.5,4.6,17.1,0.0,10.2,10.2,20.3,150.0,0.6,0.0,1.0
Antiquated Skirt,23.3,23.3,23.3,23.3,54.3,26.4,32.6,0.0,25.4,25.4,66.0,150.0,3.0,0.0,1.0
Witch Cloak,51.1,56.8,51.1,51.1,66.7,31.0,40.3,0.0,45.7,45.7,15.2,250.0,4.0,0.0,1.0
Witch Gloves,21.7,24.1,21.7,21.7,27.9,14.0,17.1,0.0,20.3,20.3,7.6,250.0,1.7,0.0,1.0
Witch Skirt,26.4,29.2,26.4,26.4,41.9,18.6,26.4,0.0,29.2,35.6,10.2,250.0,2.5,0.0,1.0
Gold-Hemmed Black Hood,11.0,11.8,11.0,11.0,15.0,22.0,8.0,0.0,16.0,36.0,0.0,400.0,1.4,0.0,1.0
Gold-Hemmed Black Cloak,31.0,33.2,31.0,31.0,38.0,58.0,21.0,0.0,40.0,94.0,0.0,400.0,3.5,0.0,1.0
Gold-Hemmed Black Gloves,12.0,12.8,12.0,12.0,13.0,24.0,8.0,0.0,14.0,32.0,0.0,400.0,1.2,0.0,1.0
Gold-Hemmed Black Skirt,23.0,24.6,23.0,23.0,27.0,49.0,17.0,0.0,32.0,78.0,0.0,400.0,3.0,0.0,1.0
Mask of Velka,18.6,20.3,18.6,18.6,18.6,15.5,10.8,0.0,11.4,11.4,25.4,400.0,2.5,0.0,1.0
Black Cleric Robe,35.6,38.9,35.6,35.6,44.9,38.8,29.5,0.0,27.9,27.9,16.5,400.0,3.9,0.0,1.0
Black Manchette,17.1,18.6,17.1,17.1,21.7,17.1,14.0,0.0,12.7,12.7,6.4,400.0,1.8,0.0,1.0
Black Tights,24.8,27.0,24.8,24.8,34.1,26.4,20.2,0.0,19.1,19.1,11.4,400.0,2.8,0.0,1.0
Snickering Top Hat,18.6,25.1,18.6,18.6,20.2,14.0,18.6,0.0,24.1,17.8,0.0,300.0,2.0,0.0,1.0
Chester's Long Coat,41.9,56.5,41.9,41.9,46.5,32.6,43.4,0.0,55.9,40.6,0.0,300.0,4.5,0.0,1.0
Chester's Gloves,15.5,20.9,15.5,15.5,15.5,10.8,15.5,0.0,19.1,14.0,0.0,300.0,1.5,0.0,1.0
Chester's Trousers,29.5,39.8,29.5,29.5,32.6,23.3,31.0,0.0,39.4,29.2,0.0,300.0,3.2,0.0,1.0
Maiden Hood,16.9,19.8,16.9,16.9,19.4,12.1,14.5,0.0,12.6,9.8,4.2,150.0,0.8,0.0,1.0
Maiden Robe,46.0,53.8,46.0,46.0,53.2,31.5,41.1,0.0,32.2,25.2,11.2,150.0,2.0,0.0,1.0
Maiden Gloves,26.6,31.1,26.6,26.6,31.5,19.4,24.2,0.0,19.6,14.0,7.0,150.0,1.2,0.0,1.0
Maiden Skirt,33.9,39.6,33.9,33.9,65.3,38.7,50.8,0.0,40.6,30.8,14.0,150.0,2.5,0.0,1.0
Dingy Hood,14.5,18.2,14.5,14.5,19.4,12.1,14.5,0.0,12.6,9.8,12.6,150.0,0.8,0.0,1.0
Dingy Robe,55.7,69.6,55.7,55.7,79.9,46.0,60.5,0.0,49.0,36.4,49.0,150.0,3.0,0.0,1.0
Dingy Gloves,21.8,27.2,21.8,21.8,31.5,19.4,24.2,0.0,19.6,14.0,19.6,150.0,1.2,0.0,1.0
Blood-Stained Skirt,31.5,39.3,31.5,31.5,65.3,38.7,50.8,0.0,40.6,30.8,40.6,150.0,2.5,0.0,1.0
Eastern Helm,26.4,25.0,32.7,25.6,9.3,18.6,10.8,8.0,19.1,14.0,0.0,450.0,4.7,0.0,1.0
Eastern Armor,69.8,66.3,86.5,67.7,23.3,51.1,27.9,20.0,48.3,35.6,0.0,450.0,12.3,-1.0,1.5
Eastern Gauntlets,9.3,8.8,11.5,9.0,1.6,6.2,3.1,2.0,6.4,5.1,0.0,450.0,1.5,0.0,1.0
Eastern Leggings,23.3,22.1,28.8,22.6,7.8,17.1,9.3,6.0,15.2,12.7,0.0,450.0,4.0,0.0,1.0
Shadow Mask,14.0,15.3,14.0,14.0,7.8,9.3,9.3,0.0,19.1,22.9,0.0,200.0,0.9,0.0,1.0
Shadow Garb,35.6,39.2,35.6,35.6,18.6,24.8,26.4,0.0,49.5,59.7,0.0,200.0,2.3,0.0,1.0
Shadow Gauntlets,20.2,22.2,20.2,20.2,10.8,14.0,15.5,0.0,29.2,35.6,0.0,200.0,1.4,0.0,1.0
Shadow Leggings,20.2,22.2,20.2,20.2,10.8,14.0,15.5,0.0,29.2,35.6,0.0,200.0,1.4,0.0,1.0
Hollow Warrior Helm,24.2,23.5,24.9,23.0,14.5,12.1,14.5,3.0,7.0,7.0,0.0,250.0,2.6,0.0,1.0
Hollow Warrior Armor,58.1,56.3,59.8,55.2,38.7,29.0,41.1,8.0,18.2,18.2,0.0,250.0,6.6,0.0,1.5
Hollow Warrior Waistcloth,31.5,30.5,32.4,29.9,19.4,14.5,19.4,5.0,8.4,8.4,0.0,250.0,1.4,0.0,1.0
Hollow Soldier Helm,24.2,24.2,26.9,21.3,14.5,14.5,9.7,5.0,9.8,7.0,0.0,200.0,3.0,0.0,1.0
Hollow Soldier Armor,62.9,62.9,69.8,55.4,38.7,41.1,24.2,12.0,25.2,18.2,0.0,200.0,7.8,0.0,1.5
Hollow Soldier Waistcloth,31.5,31.5,34.9,27.7,19.4,19.4,14.5,7.0,14.0,8.4,0.0,200.0,1.5,0.0,1.0
Balder Helm,33.9,33.2,41.3,32.5,14.5,19.4,14.5,6.0,11.2,8.4,0.0,450.0,4.2,0.0,1.0
Balder Armor,89.5,87.7,109.2,86.0,36.3,43.6,36.3,16.0,28.0,22.4,0.0,450.0,10.9,0.0,1.5
Balder Gauntlets,41.1,40.3,50.2,39.5,16.9,19.4,12.1,5.0,8.4,7.0,0.0,450.0,3.5,0.0,1.0
Balder Leggings,53.2,52.2,65.0,51.1,24.2,29.0,21.8,9.0,16.8,12.6,0.0,450.0,6.4,0.0,1.0
Steel Helm,38.7,36.4,44.5,38.7,19.4,19.4,12.1,9.0,12.6,8.4,0.0,500.0,5.4,-1.0,1.0
Steel Armor,101.6,95.5,116.9,101.6,53.2,50.8,31.5,23.0,32.2,22.4,0.0,500.0,14.0,-1.0,1.5
Steel Gauntlets,60.5,56.9,69.6,60.5,31.5,29.0,19.4,14.0,19.6,12.6,0.0,500.0,8.3,-1.0,1.0
Steel Leggings,60.5,56.9,69.6,60.5,31.5,29.0,19.4,14.0,19.6,12.6,0.0,500.0,8.3,-1.0,1.0
Hollow Thief's Hood,19.4,21.1,19.4,20.1,19.4,12.1,16.9,0.0,8.4,15.4,0.0,250.0,1.1,0.0,1.0
Hollow Thief's Leather Armor,50.8,55.4,50.8,52.9,48.4,31.5,43.6,0.0,21.0,40.6,0.0,250.0,2.8,0.0,1.0
Hollow Thief's Tights,29.0,31.7,29.0,30.2,26.6,19.4,24.2,0.0,12.6,23.8,0.0,250.0,1.7,0.0,1.0
Silver Knight Helm,32.6,30.6,37.4,31.9,15.5,17.1,21.7,8.0,11.4,6.4,1.3,600.0,4.8,0.0,1.0
Silver Knight Armor,80.6,75.8,92.7,79.0,40.3,44.9,52.7,19.0,30.5,15.2,2.5,600.0,12.0,0.0,1.5
Silver Knight Gauntlets,38.8,36.4,44.6,38.0,18.6,21.7,24.8,9.0,14.0,7.6,1.3,600.0,5.5,0.0,1.0
Silver Knight Leggings,43.4,40.8,49.9,42.5,23.3,24.8,29.5,11.0,17.8,8.9,1.3,600.0,6.5,0.0,1.0
Black Knight Helm,32.6,30.9,36.8,31.9,17.1,27.9,9.3,8.0,15.2,7.6,0.0,550.0,5.0,-1.0,1.0
Black Knight Armor,88.4,83.9,99.8,86.6,44.9,74.4,26.4,21.0,40.6,19.1,0.0,550.0,13.0,-1.0,1.5
Black Knight Gauntlets,40.3,38.3,45.5,39.5,21.7,35.6,12.4,10.0,19.1,10.2,0.0,550.0,6.0,-1.0,1.0
Black Knight Leggings,46.5,44.2,52.5,45.6,23.3,40.3,14.0,11.0,21.6,11.4,0.0,550.0,7.0,-1.0,1.0
Giant Helm,41.9,38.5,47.3,41.9,20.2,29.5,20.2,14.0,16.5,10.2,0.0,600.0,6.3,-1.0,1.0
Giant Armor,111.6,102.7,126.1,111.6,49.6,74.4,51.1,35.0,40.6,24.1,0.0,600.0,16.4,-2.0,1.5
Giant Gauntlets,63.6,58.5,71.8,63.6,29.5,44.9,29.5,21.0,24.1,14.0,0.0,600.0,9.7,-1.0,1.0
Giant Leggings,63.6,58.5,71.8,63.6,29.5,44.9,29.5,21.0,24.1,14.0,0.0,600.0,9.7,-1.0,1.0
Six-Eyed Helm of the Channelers,20.0,19.2,22.8,20.0,18.0,17.0,13.0,5.0,15.0,13.0,0.0,300.0,3.9,0.0,1.0
Robe of the Channelers,53.0,50.9,60.4,53.0,45.0,45.0,35.0,12.0,38.0,33.0,0.0,300.0,10.1,0.0,1.5
Gauntlets of the Channelers,17.0,16.3,19.4,17.0,13.0,13.0,10.0,3.0,12.0,10.0,0.0,300.0,3.0,0.0,1.0
Waistcloth of the Channelers,32.0,30.7,36.5,32.0,27.0,27.0,20.0,7.0,23.0,20.0,0.0,300.0,6.0,0.0,1.0
Painting Guardian Hood,4.6,5.6,4.6,4.6,48.1,17.1,12.4,0.0,15.2,38.1,7.6,150.0,0.6,0.0,1.0
Painting Guardian Robe,14.0,16.7,14.0,14.0,52.7,44.9,32.6,0.0,40.6,99.1,20.3,150.0,1.6,0.0,1.0
Painting Guardian Gloves,9.3,11.2,9.3,9.3,34.1,26.4,18.6,0.0,22.9,58.4,12.7,150.0,0.9,0.0,1.0
Painting Guardian Waistcloth,34.1,40.9,34.1,34.1,46.5,34.1,32.6,0.0,26.7,64.8,12.7,150.0,4.0,0.0,1.0
Fang Boar Helm,40.3,36.3,48.4,40.3,7.8,6.2,6.2,12.0,16.5,10.2,0.0,600.0,8.0,-1.0,1.0
Golem Helm,35.0,32.2,40.9,35.0,17.0,16.0,6.0,13.0,17.0,12.0,0.0,700.0,6.3,-1.0,1.0
Golem Armor,91.0,83.7,106.5,91.0,45.0,41.0,17.0,33.0,45.0,31.0,0.0,700.0,16.4,-2.0,1.5
Golem Gauntlets,54.0,49.7,63.2,54.0,25.0,23.0,10.0,20.0,27.0,17.0,0.0,700.0,9.7,-1.0,1.0
Golem Leggings,54.0,49.7,63.2,54.0,25.0,23.0,10.0,20.0,27.0,17.0,0.0,700.0,9.7,-1.0,1.0
Smough's Helm,40.0,34.8,46.0,40.0,19.0,26.0,21.0,14.0,21.0,12.0,5.0,700.0,6.8,-1.0,1.0
Smough's Armor,106.0,92.2,121.9,106.0,52.0,66.0,59.0,35.0,54.0,28.0,9.0,700.0,17.6,-2.0,1.5
Smough's Gauntlets,61.0,53.1,70.2,61.0,31.0,40.0,33.0,21.0,33.0,16.0,5.0,700.0,10.4,-1.0,1.0
Smough's Leggings,61.0,53.1,70.2,61.0,31.0,40.0,33.0,21.0,33.0,16.0,5.0,700.0,10.4,-1.0,1.0
Ornstein's Helm,32.0,30.4,36.2,32.0,16.0,22.0,18.0,9.0,18.0,8.0,8.0,700.0,5.5,-1.0,1.0
Ornstein's Armor,70.0,66.5,79.1,70.0,36.0,46.0,40.0,19.0,38.0,18.0,18.0,700.0,12.0,-1.0,1.5
Ornstein's Gauntlets,29.0,27.6,32.8,29.0,12.0,16.0,14.0,6.0,12.0,6.0,6.0,700.0,4.0,0.0,1.0
Ornstein's Leggings,40.0,38.0,45.2,40.0,20.0,28.0,24.0,11.0,22.0,12.0,12.0,700.0,7.0,-1.0,1.0
Helm of Artorias,27.9,25.1,32.1,29.3,14.0,29.5,14.0,6.0,11.4,11.4,11.4,600.0,4.2,0.0,1.0
Armor of Artorias,65.1,58.6,74.9,68.4,34.1,71.3,34.1,15.0,27.9,27.9,25.4,600.0,10.5,0.0,1.5
Gauntlets of Artorias,31.0,27.9,35.6,32.6,15.5,32.6,15.5,7.0,12.7,12.7,11.4,600.0,4.6,0.0,1.0
Leggings of Artorias,35.6,32.1,41.0,37.4,17.1,37.2,17.1,9.0,14.0,14.0,12.7,600.0,5.5,0.0,1.0
Gough's Helm,38.8,38.8,40.7,36.8,21.7,32.6,17.1,9.0,14.0,7.6,0.0,450.0,6.5,-1.0,1.0
Gough's Armor,77.5,77.5,81.4,73.6,43.4,63.6,32.6,19.0,26.7,15.2,0.0,450.0,13.0,-1.0,1.5
Gough's Gauntlets,41.9,41.9,43.9,39.8,23.3,34.1,17.1,12.0,14.0,7.6,0.0,450.0,7.0,-1.0,1.0
Gough's Leggings,48.1,48.1,50.5,45.6,26.4,38.8,20.2,13.0,16.5,8.9,0.0,450.0,8.0,-1.0,1.0
Porcelain Mask,20.2,20.2,21.2,22.2,15.5,18.6,12.4,3.0,14.0,24.1,14.0,250.0,2.5,0.0,1.0
Lord's Blade Robe,52.7,52.7,55.3,58.0,40.3,49.6,31.0,8.0,35.6,62.2,31.7,250.0,6.4,0.0,1.0
Lord's Blade Gloves,23.3,23.3,24.4,25.6,17.1,21.7,14.0,3.0,15.2,27.9,14.0,250.0,2.8,0.0,1.0
Lord's Blade Waistcloth,41.9,41.9,43.9,46.0,31.0,38.8,24.8,6.0,27.9,48.3,25.4,250.0,5.0,0.0,1.0
Crown of the Dark Sun,12.0,12.0,12.0,12.0,12.0,6.0,6.0,0.0,9.0,9.0,12.0,300.0,3.0,0.0,1.0
Moonlight Robe,20.0,20.0,20.0,20.0,31.0,17.0,17.0,0.0,23.0,23.0,31.0,80.0,3.1,0.0,1.0
Moonlight Gloves,3.0,3.0,3.0,3.0,5.0,3.0,3.0,0.0,4.0,4.0,5.0,80.0,0.5,0.0,1.0
Moonlight Waistcloth,12.0,12.0,12.0,12.0,18.0,10.0,10.0,0.0,14.0,14.0,18.0,80.0,1.8,0.0,1.0
Crown of the Great Lord,16.0,17.3,18.4,14.7,16.0,21.0,21.0,0.0,15.0,8.0,20.0,800.0,3.0,0.0,1.0
Robe of the Great Lord,32.0,34.6,36.8,29.4,32.0,41.0,41.0,0.0,30.0,15.0,40.0,400.0,6.0,0.0,1.0
Bracelet of the Great Lord,15.0,16.2,17.3,13.8,15.0,19.0,19.0,0.0,14.0,7.0,18.0,400.0,2.8,0.0,1.0
Anklet of the Great Lord,15.0,16.2,17.3,13.8,15.0,19.0,19.0,0.0,14.0,7.0,18.0,400.0,2.8,0.0,1.0
Dark Mask,27.9,27.9,30.7,26.2,18.6,18.6,15.5,6.0,15.2,10.2,0.0,300.0,3.8,0.0,1.0
Dark Armor,69.8,69.8,76.7,65.6,46.5,48.1,41.9,16.0,38.1,26.7,0.0,300.0,9.8,0.0,1.5
Dark Gauntlets,41.9,41.9,46.0,39.3,27.9,27.9,23.3,9.0,22.9,15.2,0.0,300.0,5.8,0.0,1.0
Dark Leggings,41.9,41.9,46.0,39.3,27.9,27.9,23.3,9.0,22.9,15.2,0.0,300.0,5.8,0.0,1.0
Helm of Thorns,26.4,25.0,28.7,26.4,15.5,18.6,12.4,6.0,12.7,8.9,0.0,250.0,4.1,0.0,1.0
Armor of Thorns,69.8,66.3,76.0,69.8,43.4,51.1,31.0,16.0,33.0,22.9,0.0,250.0,10.5,0.0,1.5
